TALLA/EDAD NIÑOS Z DE 0 A 19 AÑOS,,,,,,,,TALLA/EDAD NIÑAS Z DE 0 A 19 AÑOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,,MES,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.000,82.800,86.400,89.900,93.400,96.900,100.400,,32.000,81.300,84.900,88.600,92.200,95.800,99.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.000,83.400,86.900,90.500,94.100,97.600,101.200,,33.000,81.900,85.600,89.300,92.900,96.600,100.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.000,83.900,87.500,91.100,94.800,98.400,102.000,,34.000,82.500,86.200,89.900,93.600,97.400,101.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.000,84.400,88.100,91.800,95.400,99.100,102.700,,35.000,83.100,86.800,90.600,94.400,98.100,101.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.000,85.000,88.700,92.400,96.100,99.800,103.500,,36.000,83.600,87.400,91.200,95.100,98.900,102.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.000,85.500,89.200,93.000,96.700,100.500,104.200,,37.000,84.200,88.000,91.900,95.700,99.600,103.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.000,86.000,89.800,93.600,97.400,101.200,105.000,,38.000,84.700,88.600,92.500,96.400,100.300,104.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.000,86.500,90.300,94.200,98.000,101.800,105.700,,39.000,85.300,89.200,93.100,97.100,101.000,105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.000,87.000,90.900,94.700,98.600,102.500,106.400,,40.000,85.800,89.800,93.800,97.700,101.700,105.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.000,87.500,91.400,95.300,99.200,103.200,107.100,,41.000,86.300,90.400,94.400,98.400,102.400,106.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.000,88.000,91.900,95.900,99.900,103.800,107.800,,42.000,86.800,90.900,95.000,99.000,103.100,107.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.000,88.400,92.400,96.400,100.400,104.500,108.500,,43.000,87.400,91.500,95.600,99.700,103.800,107.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.000,88.900,93.000,97.000,101.000,105.100,109.100,,44.000,87.900,92.000,96.200,100.300,104.500,108.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.000,89.400,93.500,97.500,101.600,105.700,109.800,,45.000,88.400,92.500,96.700,100.900,105.100,109.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.000,89.800,94.000,98.100,102.200,106.300,110.400,,46.000,88.900,93.100,97.300,101.500,105.800,110.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.000,90.300,94.400,98.600,102.800,106.900,111.100,,47.000,89.300,93.600,97.900,102.100,106.400,110.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.000,90.700,94.900,99.100,103.300,107.500,111.700,,48.000,89.800,94.100,98.400,102.700,107.000,111.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.000,91.200,95.400,99.700,103.900,108.100,112.400,,49.000,90.300,94.600,99.000,103.300,107.700,112.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.000,91.600,95.900,100.200,104.400,108.700,113.000,,50.000,90.700,95.100,99.500,103.900,108.300,112.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.000,92.100,96.400,100.700,105.000,109.300,113.600,,51.000,91.200,95.600,100.100,104.500,108.900,113.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.000,92.500,96.900,101.200,105.600,109.900,114.200,,52.000,91.700,96.100,100.600,105.000,109.500,114.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.000,93.000,97.400,101.700,106.100,110.500,114.900,,53.000,92.100,96.600,101.100,105.600,110.100,114.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.000,93.400,97.800,102.300,106.700,111.100,115.500,,54.000,92.600,97.100,101.600,106.200,110.700,115.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.000,93.900,98.300,102.800,107.200,111.700,116.100,,55.000,93.000,97.600,102.200,106.700,111.300,115.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.000,94.300,98.800,103.300,107.800,112.300,116.700,,56.000,93.400,98.100,102.700,107.300,111.900,116.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.000,94.700,99.300,103.800,108.300,112.800,117.400,,57.000,93.900,98.500,103.200,107.800,112.500,117.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.000,95.200,99.700,104.300,108.900,113.400,118.000,,58.000,94.300,99.000,103.700,108.400,113.000,117.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.000,95.600,100.200,104.800,109.400,114.000,118.600,,59.000,94.700,99.500,104.200,108.900,113.600,118.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.000,,100.700,105.300,110.000,114.600,119.200,,60.000,,99.900,104.700,109.400,114.200,118.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
